#Site	Status	Area	Rep	Snails	Snail Biomass	Juvenile Fiddler Crabs	JFC Biomass	Adult Fiddler Crabs	AFC Biomass	Mussels	Mussel Recruits	Mussel Biomass	Mud Crabs	Mud Crab Biomass	Sesarma	Sesarma Biomass	InvertBiomass	Proportion Sesarma
AM	Grazed	Border	1	0	0	8	0.16	4	0.44	0	0	0	0	0	7	1.68	2.28	0.737
AM	Grazed	Border	2	0	0	18	0.36	7	0.77	0	0	0	0	0	3	0.72	1.85	0.389
AM	Grazed	Border	3	0	0	7	0.14	6	0.66	0	0	0	0	0	2	0.48	1.28	0.375
AM	Grazed	Border	4	0	0	14	0.28	5	0.55	0	0	0	0	0	3	0.72	1.55	0.465
AM	Grazed	Border	5	0	0	10	0.2	4	0.44	0	0	0	1	0.45	5	1.2	2.29	0.524
AM	Grazed	Border	6	0	0	12	0.24	5	0.55	0	0	0	0	0	3	0.72	1.51	0.477
AM	Grazed	Border	7	0	0	7	0.14	3	0.33	0	0	0	0	0	4	0.96	1.43	0.671
AM	Grazed	Border	8	0	0	6	0.12	6	0.66	0	0	0	0	0	5	1.2	1.98	0.606
BF	Grazed	Border	1	0	0	0	0	0	0	0	0	0	1	0.45	3	0.72	1.17	0.615
BF	Grazed	Border	2	0	0	0	0	0	0	0	0	0	1	0.45	4	0.96	1.41	0.681
BF	Grazed	Border	3	0	0	2	0.04	1	0.11	0	0	0	0	0	7	1.68	1.83	0.918
BF	Grazed	Border	4	0	0	2	0.04	0	0	0	0	0	3	1.35	6	1.44	2.83	0.509
BF	Grazed	Border	5	0	0	2	0.04	2	0.22	0	0	0	2	0.9	6	1.44	2.6	0.554
BF	Grazed	Border	6	0	0	0	0	0	0	0	0	0	1	0.45	5	1.2	1.65	0.727
BF	Grazed	Border	7	0	0	6	0.12	1	0.11	0	0	0	0	0	10	2.4	2.63	0.913
BF	Grazed	Border	8	0	0	5	0.1	1	0.11	0	0	0	1	0.45	6	1.44	2.1	0.686
